sentences,labels
"<e1> Zest Airways , Inc. </e1> operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) , was a low - cost airline based at the Ninoy Aquino International Airport in <e2> Pasay City </e2> , Metro Manila in the Philippines .",headquarters location
"Zest Airways , Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) , was a low - cost airline based at the Ninoy Aquino International Airport in <e1> Pasay City </e1> , Metro Manila in the <e2> Philippines </e2> .",country
"Zest Airways , Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) , was a low - cost airline based at the Ninoy Aquino International Airport in <e1> Pasay City </e1> , <e2> Metro Manila </e2> in the Philippines .",located in the administrative territorial entity
"Zest Airways , Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) , was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City , <e2> Metro Manila </e2> in the <e1> Philippines </e1> .",contains administrative territorial entity
"Zest Airways , Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) , was a low - cost airline based at the Ninoy Aquino International Airport in <e2> Pasay City </e2> , <e1> Metro Manila </e1> in the Philippines .",contains administrative territorial entity
"The airline was founded as <e1> Asian Spirit </e1> , the first airline in the <e2> Philippines </e2> to be run as a cooperative .",country
"Niklas Bergqvist ( born 6 October 1962 in <e1> Stockholm </e1> ) , is a <e2> Swedish </e2> songwriter , producer and musician .",country
"<e1> Niklas Bergqvist </e1> ( born <e2> 6 October 1962 </e2> in Stockholm ) , is a Swedish songwriter , producer and musician .",date of birth
"<e1> Niklas Bergqvist </e1> ( born 6 October 1962 in <e2> Stockholm </e2> ) , is a Swedish songwriter , producer and musician .",place of birth
"<e1> Niklas Bergqvist </e1> ( born 6 October 1962 in Stockholm ) , is a <e2> Swedish </e2> songwriter , producer and musician .",country of citizenship
"The second , and final , studio album was produced by <e2> Swedish </e2> pop star <e1> Harpo </e1> .",country of citizenship
"Pacific Fair is a major shopping centre in Broadbeach Waters on the Gold Coast , <e1> Queensland </e1> , <e2> Australia </e2> .",located in the administrative territorial entity
"Pacific Fair is a major shopping centre in Broadbeach Waters on the Gold Coast , <e2> Queensland </e2> , <e1> Australia </e1> .",contains administrative territorial entity
"Pacific Fair is a major shopping centre in <e1> Broadbeach Waters </e1> on the Gold Coast , Queensland , <e2> Australia </e2> .",country
"Pacific Fair is a major shopping centre in <e1> Broadbeach Waters </e1> on the <e2> Gold Coast </e2> , Queensland , Australia .",located in the administrative territorial entity
<e1> Pacific Fair </e1> was developed by Hooker Retail Developments and opened in <e2> 1977 </e2> on what was swampland with 96 specialty stores and two anchor tenants .,inception
The <e1> Ministry of Home Security </e1> was a British government department established in <e2> 1939 </e2> to direct national civil defence ( primarily tasked with organising air raid precautions ) during the Second World War .,inception
